Sale_ID	Store_ID	Product_ID	Customer_ID	Quantity	Amount	Sale_Date
1	4	1095	7873	4	700	2024-12-20 00:00:00
2	19	1080	7636	2	25	2024-03-09 00:00:00
3	3	1056	7578	0	0	2024-06-22 00:00:00
4	19	1044	6085	5	1700	2024-12-22 00:00:00
5	20	1057	6350	3	37.5	2024-10-14 00:00:00
6	7	1006	6929	0	0	2024-02-21 00:00:00
7	20	1092	5280	5	875	2024-07-24 00:00:00
8	9	1032	6963	2	25	2024-02-02 00:00:00
9	1	1074	6785	3	1020	2024-06-11 00:00:00
10	8	1018	7274	1	900	2024-08-21 00:00:00
11	7	1068	7686	2	680	2024-08-20 00:00:00
12	18	1073	6081	0	0	2024-04-20 00:00:00
13	8	1007	7968	2	25	2024-11-09 00:00:00
14	1	1008	5476	1	340	2024-08-01 00:00:00
15	11	1064	8447	2	1800	2024-03-10 00:00:00
16	18	1007	5715	3	37.5	2024-04-27 00:00:00
17	10	1041	5242	2	25	2024-04-07 00:00:00
18	3	1040	7414	2	1800	2024-02-25 00:00:00
19	7	1003	5935	1	175	2024-09-16 00:00:00
20	16	1017	8915	2	25	2024-11-17 00:00:00
21	16	1066	6523	2	1800	2024-12-15 00:00:00
22	20	1079	5837	0	0	2024-05-26 00:00:00
23	17	1093	8323	1	175	2024-03-03 00:00:00
24	2	1052	7953	3	525	2024-07-06 00:00:00
25	1	1022	6345	1	12.5	2024-11-24 00:00:00
26	16	1004	7423	2	350	2024-05-12 00:00:00
27	12	1006	7028	2	25	2024-01-02 00:00:00
28	5	1038	6432	0	0	2024-11-29 00:00:00
29	5	1026	7758	1	175	2024-06-07 00:00:00
30	9	1011	8559	3	37.5	2024-12-07 00:00:00
31	9	1090	7390	3	2700	2024-02-09 00:00:00
32	3	1017	5239	2	25	2024-05-06 00:00:00
33	19	1088	5138	1	175	2024-07-05 00:00:00
34	16	1092	8193	1	175	2024-08-10 00:00:00
35	16	1099	5419	0	0	2024-12-04 00:00:00
36	3	1031	6584	1	175	2024-10-22 00:00:00
37	20	1077	5303	2	350	2024-09-11 00:00:00
38	1	1035	7162	50	1500	2024-06-19 00:00:00
39	20	1016	7390	0	0	2024-01-12 00:00:00
40	11	1079	6274	2	1800	2024-12-11 00:00:00
41	17	1018	7026	0	0	2024-09-16 00:00:00
42	8	1062	5006	1	12.5	2024-04-24 00:00:00
43	4	1027	7778	4	50	2024-11-10 00:00:00
44	6	1035	8660	2	60	2024-02-18 00:00:00
45	8	1045	7226	1	12.5	2024-09-17 00:00:00
46	20	1035	6168	5	150	2024-12-15 00:00:00
47	3	1028	5415	5	4500	2024-12-24 00:00:00
48	16	1009	7713	2	350	2024-05-12 00:00:00
49	3	1076	6144	2	350	2024-09-17 00:00:00
50	18	1015	6147	3	37.5	2024-07-18 00:00:00
51	14	1021	5149	3	525	2024-09-02 00:00:00
52	18	1052	7444	2	350	2024-02-24 00:00:00
53	2	1035	7428	3	90	2024-07-11 00:00:00
54	3	1097	6803	2	1800	2024-07-12 00:00:00
55	16	1051	5838	0	0	2024-01-07 00:00:00
56	9	1083	7048	2	25	2024-01-15 00:00:00
57	4	1055	6696	4	700	2024-03-18 00:00:00
58	1	1087	5243	0	0	2024-06-05 00:00:00
59	4	1077	6910	4	700	2024-04-23 00:00:00
60	1	1044	6421	0	0	2024-01-02 00:00:00
61	14	1065	6274	2	25	2024-07-04 00:00:00
62	6	1093	5878	0	0	2024-11-22 00:00:00
63	16	1088	8647	1	175	2024-09-22 00:00:00
64	20	1080	8370	2	25	2024-11-06 00:00:00
65	8	1025	7807	1	900	2024-03-30 00:00:00
66	7	1087	8001	4	700	2024-01-13 00:00:00
67	3	1092	6320	2	350	2024-06-13 00:00:00
68	17	1047	5976	0	0	2024-05-15 00:00:00
69	1	1080	6523	1	12.5	2024-09-08 00:00:00
70	16	1056	6138	4	1360	2024-02-09 00:00:00
71	12	1038	8878	6	75	2024-12-14 00:00:00
72	19	1011	7048	1	12.5	2024-03-31 00:00:00
73	14	1067	5552	3	37.5	2024-05-16 00:00:00
74	6	1015	8756	2	25	2024-05-04 00:00:00
75	6	1001	8671	0	0	2024-07-21 00:00:00
76	13	1007	5481	4	50	2024-08-04 00:00:00
77	19	1001	8681	3	2700	2024-03-27 00:00:00
78	8	1049	5599	0	0	2024-11-28 00:00:00
79	2	1096	7810	0	0	2024-08-20 00:00:00
80	6	1073	8581	2	25	2024-07-02 00:00:00
81	1	1029	7382	3	525	2024-06-22 00:00:00
82	15	1026	7512	2	350	2024-03-13 00:00:00
83	1	1087	6164	2	350	2024-12-07 00:00:00
84	5	1045	5582	1	12.5	2024-04-26 00:00:00
85	16	1093	5136	3	525	2024-04-28 00:00:00
86	19	1097	6003	3	2700	2024-11-10 00:00:00
87	4	1071	6982	1	175	2024-11-12 00:00:00
88	3	1012	6634	1	30	2024-09-21 00:00:00
89	17	1095	8734	2	350	2024-08-21 00:00:00
90	17	1032	7997	3	37.5	2024-11-14 00:00:00
91	12	1020	5686	2	25	2024-01-14 00:00:00
92	14	1051	7214	2	60	2024-11-27 00:00:00
93	6	1081	8414	1	340	2024-08-19 00:00:00
94	6	1036	6433	4	1360	2024-09-29 00:00:00
95	3	1067	6792	1	12.5	2024-01-17 00:00:00
96	9	1001	5909	0	0	2024-11-02 00:00:00
97	5	1027	6759	3	37.5	2024-08-29 00:00:00
98	17	1040	7034	0	0	2024-11-28 00:00:00
99	14	1097	7927	2	1800	2024-04-22 00:00:00
100	6	1084	5841	3	37.5	2024-02-05 00:00:00
101	3	1014	7112	3	37.5	2024-11-13 00:00:00
102	1	1100	6604	3	37.5	2024-01-18 00:00:00
103	20	1069	8138	1	12.5	2024-08-09 00:00:00
104	6	1087	7480	2	350	2024-02-24 00:00:00
105	1	1079	8121	2	1800	2024-12-27 00:00:00
106	3	1006	6337	0	0	2024-05-03 00:00:00
107	18	1033	8380	0	0	2024-11-16 00:00:00
108	10	1055	8674	2	350	2024-09-26 00:00:00
109	3	1019	5114	2	1800	2024-09-22 00:00:00
110	8	1077	8957	3	525	2024-09-17 00:00:00
111	14	1029	5568	3	525	2024-08-20 00:00:00
112	18	1061	8413	1	900	2024-12-14 00:00:00
113	15	1070	6553	2	60	2024-08-30 00:00:00
114	2	1079	8855	1	900	2024-12-16 00:00:00
115	10	1080	7689	1	12.5	2024-06-13 00:00:00
116	2	1024	5494	0	0	2024-06-09 00:00:00
117	17	1023	8340	3	37.5	2024-08-09 00:00:00
118	8	1010	7988	2	350	2024-04-12 00:00:00
119	1	1054	8151	2	680	2024-04-06 00:00:00
120	9	1041	8527	0	0	2024-01-10 00:00:00
121	11	1049	8370	3	2700	2024-07-04 00:00:00
122	16	1017	8015	2	25	2024-07-09 00:00:00
123	7	1056	5821	3	1020	2024-06-11 00:00:00
124	10	1045	7249	2	25	2024-02-18 00:00:00
125	3	1030	8574	5	62.5	2024-06-04 00:00:00
126	18	1044	8808	3	1020	2024-02-24 00:00:00
127	13	1074	8742	0	0	2024-05-16 00:00:00
128	7	1055	8787	3	525	2024-06-21 00:00:00
129	4	1019	7696	2	1800	2024-05-01 00:00:00
130	13	1029	8556	4	700	2024-05-28 00:00:00
131	20	1002	6608	2	60	2024-11-27 00:00:00
132	1	1036	5559	4	1360	2024-01-07 00:00:00
133	8	1019	6041	4	3600	2024-10-04 00:00:00
134	14	1007	7525	2	25	2024-04-05 00:00:00
135	16	1026	7535	2	350	2024-03-07 00:00:00
136	14	1079	8030	3	2700	2024-03-16 00:00:00
137	12	1038	7826	2	25	2024-07-04 00:00:00
138	19	1003	6469	2	350	2024-12-07 00:00:00
139	15	1080	5339	3	37.5	2024-06-18 00:00:00
140	2	1066	6554	3	2700	2024-08-17 00:00:00
141	2	1095	5611	2	350	2024-11-04 00:00:00
142	19	1092	7163	2	350	2024-01-28 00:00:00
143	17	1071	6881	2	350	2024-02-27 00:00:00
144	20	1094	5073	4	700	2024-09-17 00:00:00
145	10	1043	8863	4	50	2024-04-03 00:00:00
146	6	1062	8340	3	37.5	2024-07-01 00:00:00
147	15	1071	8708	2	350	2024-11-11 00:00:00
